,HPO,Total Energy (kWh),Emission (kgCH4/kWh)/year,Emission (kgN2O/kWh)/year,Emission (kgCO2/kWh)/year,Emission (kgCO2e/kWh)/year
Sim1,BO,0.007,0.049,0.084,12.935,13.069
Sim2,BO,0.007,0.049,0.084,12.879,13.012
Sim3,BO,0.007,0.05,0.086,13.211,13.347
Sim4,BO,0.007,0.051,0.087,13.275,13.412
Sim5,BO,0.007,0.052,0.088,13.556,13.696
Sim6,BO,0.004,0.026,0.045,6.877,6.948
Sim7,BO,0.004,0.026,0.045,6.849,6.919
Sim8,BO,0.004,0.026,0.044,6.784,6.854
Sim9,BO,0.004,0.026,0.045,6.893,6.964
Sim10,BO,0.004,0.027,0.046,7.129,7.203
