,Solver,Learning rate,Hidden layer size,Alpha,Activation function,Mean test score,Std test score,Solution Rank
Solution1,adam,constant,150,0.1,relu,0.881,0.024,1
Solution2,adam,adaptive,150,0.01,relu,0.871,0.028,2
Solution3,adam,adaptive,25,0.1,relu,0.868,0.042,3
Solution4,adam,constant,100,0.1,relu,0.868,0.029,4
Solution5,adam,constant,150,0.001,relu,0.868,0.027,5
Solution6,adam,constant,25,0.001,relu,0.868,0.041,6
Solution7,adam,adaptive,100,0.01,relu,0.867,0.036,7
Solution8,adam,adaptive,200,0.01,relu,0.864,0.037,8
Solution9,adam,adaptive,150,0.01,tanh,0.86,0.035,9
Solution10,adam,adaptive,100,0.1,tanh,0.859,0.03,10
