,HPO,Base (KJ),CPU (KJ),Hardware (KJ),Application (KJ),Total Energy (KJ),Execution Time (s),Average Total Energy (J/s)
Sim1,BO,9.511,8.608,18.056,7.238,25.294,634.087,39.89
Sim2,BO,9.463,8.581,17.981,7.203,25.184,630.863,39.92
Sim3,BO,9.691,8.869,18.496,7.338,25.833,646.065,39.986
Sim4,BO,9.621,9.132,18.69,7.268,25.958,641.369,40.474
Sim5,BO,9.958,9.105,18.997,7.51,26.508,663.886,39.928
Sim6,BO,5.184,4.414,9.564,3.884,13.448,345.611,38.91
Sim7,BO,5.176,4.382,9.523,3.869,13.392,345.054,38.812
Sim8,BO,5.108,4.349,9.424,3.841,13.265,340.56,38.951
Sim9,BO,5.195,4.42,9.58,3.898,13.478,346.308,38.92
Sim10,BO,5.348,4.689,10.002,3.939,13.941,356.566,39.099
