,HPO,Total Energy (kWh),Emission (kgCH4/kWh)/year,Emission (kgN2O/kWh)/year,Emission (kgCO2/kWh)/year,Emission (kgCO2e/kWh)/year
Sim1,GA,0.008,0.059,0.101,15.559,15.72
Sim2,GA,0.009,0.06,0.103,15.783,15.946
Sim3,GA,0.008,0.059,0.101,15.535,15.695
Sim4,GA,0.008,0.058,0.099,15.189,15.346
Sim5,GA,0.008,0.058,0.099,15.178,15.334
Sim6,GA,0.009,0.06,0.103,15.824,15.987
Sim7,GA,0.008,0.059,0.101,15.453,15.612
Sim8,GA,0.008,0.058,0.099,15.126,15.282
Sim9,GA,0.01,0.068,0.116,17.829,18.013
Sim10,GA,0.007,0.049,0.083,12.786,12.918
