,HPO,Base (KJ),CPU (KJ),Hardware (KJ),Application (KJ),Total Energy (KJ),Execution Time (s),Average Total Energy (J/s)
Sim1,GA,12.024,10.233,22.179,8.247,30.425,801.571,37.957
Sim2,GA,11.814,10.417,22.153,8.711,30.864,787.574,39.189
Sim3,GA,11.622,10.126,21.671,8.707,30.377,774.799,39.207
Sim4,GA,11.888,9.76,21.57,8.132,29.702,792.537,37.477
Sim5,GA,11.913,9.729,21.563,8.116,29.679,794.192,37.371
Sim6,GA,11.663,10.57,22.186,8.757,30.943,777.51,39.798
Sim7,GA,11.448,10.062,21.435,8.782,30.217,763.182,39.594
Sim8,GA,11.138,9.941,21.01,8.568,29.578,742.564,39.832
Sim9,GA,13.084,11.75,24.75,10.114,34.864,872.256,39.97
Sim10,GA,9.425,8.445,17.812,7.19,25.002,628.324,39.792
