,HPO,Total Energy (kWh),Emission (kgCH4/kWh)/year,Emission (kgN2O/kWh)/year,Emission (kgCO2/kWh)/year,Emission (kgCO2e/kWh)/year
Sim1,GS,0.036,0.255,0.437,67.015,67.707
Sim2,GS,0.036,0.249,0.427,65.45,66.126
Sim3,GS,0.035,0.243,0.415,63.734,64.393
Sim4,GS,0.035,0.246,0.421,64.64,65.307
Sim5,GS,0.035,0.248,0.425,65.202,65.875
Sim6,GS,0.039,0.276,0.472,72.415,73.163
Sim7,GS,0.038,0.263,0.451,69.14,69.853
Sim8,GS,0.035,0.244,0.417,63.977,64.638
Sim9,GS,0.035,0.246,0.422,64.706,65.374
Sim10,GS,0.035,0.245,0.42,64.485,65.151
