,HPO,Base (KJ),CPU (KJ),Hardware (KJ),Application (KJ),Total Energy (KJ),Execution Time (s),Average Total Energy (J/s)
Sim1,GS,49.184,45.285,94.147,36.898,131.045,3278.942,39.966
Sim2,GS,47.922,43.893,91.501,36.484,127.985,3194.818,40.06
Sim3,GS,47.355,41.288,88.331,36.299,124.63,3157.022,39.477
Sim4,GS,47.673,42.681,90.041,36.359,126.4,3178.198,39.771
Sim5,GS,47.865,43.613,91.165,36.334,127.499,3190.97,39.956
Sim6,GS,50.524,53.546,103.926,37.678,141.604,3368.262,42.041
Sim7,GS,48.875,49.728,98.446,36.753,135.199,3258.307,41.494
Sim8,GS,47.098,42.315,89.126,35.979,125.104,3139.893,39.844
Sim9,GS,47.487,43.103,90.288,36.241,126.529,3165.819,39.967
Sim10,GS,47.402,42.705,89.8,36.299,126.098,3160.149,39.903
