,HPO,Total Energy (kWh),Emission (kgCH4/kWh)/year,Emission (kgN2O/kWh)/year,Emission (kgCO2/kWh)/year,Emission (kgCO2e/kWh)/year
Sim1,PSO,0.009,0.066,0.113,17.281,17.46
Sim2,PSO,0.009,0.066,0.113,17.36,17.54
Sim3,PSO,0.01,0.067,0.114,17.502,17.683
Sim4,PSO,0.009,0.066,0.113,17.378,17.557
Sim5,PSO,0.01,0.067,0.115,17.581,17.763
Sim6,PSO,0.013,0.088,0.15,23.069,23.307
Sim7,PSO,0.013,0.092,0.158,24.232,24.482
Sim8,PSO,0.013,0.092,0.157,24.109,24.358
Sim9,PSO,0.012,0.082,0.14,21.494,21.716
Sim10,PSO,0.009,0.066,0.113,17.297,17.476
