,HPO,Base (KJ),CPU (KJ),Hardware (KJ),Application (KJ),Total Energy (KJ),Execution Time (s),Average Total Energy (J/s)
Sim1,PSO,12.795,11.645,24.356,9.436,33.793,852.993,39.617
Sim2,PSO,13.052,11.706,24.671,9.276,33.947,870.102,39.015
Sim3,PSO,12.9,11.893,24.708,9.517,34.224,859.969,39.797
Sim4,PSO,12.751,11.785,24.453,9.529,33.982,850.066,39.975
Sim5,PSO,12.946,11.975,24.838,9.542,34.38,863.097,39.833
Sim6,PSO,16.83,15.705,32.432,12.678,45.11,1122.002,40.205
Sim7,PSO,17.732,16.436,34.057,13.326,47.384,1182.108,40.084
Sim8,PSO,17.636,16.287,33.81,13.334,47.144,1175.702,40.099
Sim9,PSO,15.814,14.372,30.083,11.948,42.031,1054.265,39.868
Sim10,PSO,12.786,11.583,24.286,9.538,33.824,852.424,39.679
