,HPO,Base (KJ),CPU (KJ),Hardware (KJ),Application (KJ),Total Energy (KJ),Execution Time (s),Average Total Energy (J/s)
Sim1,RS,14.112,12.733,26.753,10.676,37.429,940.789,39.784
Sim2,RS,14.29,12.999,27.194,10.79,37.984,952.645,39.873
Sim3,RS,14.193,13.039,27.139,10.75,37.889,946.216,40.043
Sim4,RS,14.085,13.075,27.068,10.698,37.766,938.997,40.219
Sim5,RS,14.081,12.63,26.618,10.753,37.37,938.738,39.809
Sim6,RS,13.823,12.184,25.915,10.542,36.458,921.51,39.563
Sim7,RS,14.198,12.81,26.916,10.792,37.708,946.505,39.839
Sim8,RS,13.994,12.58,26.482,10.694,37.176,932.914,39.849
Sim9,RS,14.179,12.701,26.787,10.756,37.543,945.26,39.717
Sim10,RS,13.666,11.994,25.569,10.489,36.058,911.056,39.579
