,HPO,Total Energy (kWh),Emission (kgCH4/kWh)/year,Emission (kgN2O/kWh)/year,Emission (kgCO2/kWh)/year,Emission (kgCO2e/kWh)/year
Sim1,GS,0.036,0.255,0.437,67.015,67.707
Sim2,GS,0.036,0.249,0.427,65.45,66.126
Sim3,GS,0.035,0.243,0.415,63.734,64.393
Sim4,GS,0.035,0.246,0.421,64.64,65.307
Sim5,GS,0.035,0.248,0.425,65.202,65.875
Sim6,GS,0.039,0.276,0.472,72.415,73.163
Sim7,GS,0.038,0.263,0.451,69.14,69.853
Sim8,GS,0.035,0.244,0.417,63.977,64.638
Sim9,GS,0.035,0.246,0.422,64.706,65.374
Sim10,GS,0.035,0.245,0.42,64.485,65.151
Sim1,RS,0.01,0.073,0.125,19.141,19.338
Sim2,RS,0.011,0.074,0.127,19.425,19.625
Sim3,RS,0.011,0.074,0.126,19.376,19.576
Sim4,RS,0.01,0.074,0.126,19.313,19.512
Sim5,RS,0.01,0.073,0.125,19.111,19.308
Sim6,RS,0.01,0.071,0.122,18.644,18.837
Sim7,RS,0.01,0.073,0.126,19.283,19.482
Sim8,RS,0.01,0.072,0.124,19.011,19.208
Sim9,RS,0.01,0.073,0.125,19.199,19.397
Sim10,RS,0.01,0.07,0.12,18.44,18.63
Sim1,BO,0.007,0.049,0.084,12.935,13.069
Sim2,BO,0.007,0.049,0.084,12.879,13.012
Sim3,BO,0.007,0.05,0.086,13.211,13.347
Sim4,BO,0.007,0.051,0.087,13.275,13.412
Sim5,BO,0.007,0.052,0.088,13.556,13.696
Sim6,BO,0.004,0.026,0.045,6.877,6.948
Sim7,BO,0.004,0.026,0.045,6.849,6.919
Sim8,BO,0.004,0.026,0.044,6.784,6.854
Sim9,BO,0.004,0.026,0.045,6.893,6.964
Sim10,BO,0.004,0.027,0.046,7.129,7.203
Sim1,GA,0.008,0.059,0.101,15.559,15.72
Sim2,GA,0.009,0.06,0.103,15.783,15.946
Sim3,GA,0.008,0.059,0.101,15.535,15.695
Sim4,GA,0.008,0.058,0.099,15.189,15.346
Sim5,GA,0.008,0.058,0.099,15.178,15.334
Sim6,GA,0.009,0.06,0.103,15.824,15.987
Sim7,GA,0.008,0.059,0.101,15.453,15.612
Sim8,GA,0.008,0.058,0.099,15.126,15.282
Sim9,GA,0.01,0.068,0.116,17.829,18.013
Sim10,GA,0.007,0.049,0.083,12.786,12.918
Sim1,PSO,0.009,0.066,0.113,17.281,17.46
Sim2,PSO,0.009,0.066,0.113,17.36,17.54
Sim3,PSO,0.01,0.067,0.114,17.502,17.683
Sim4,PSO,0.009,0.066,0.113,17.378,17.557
Sim5,PSO,0.01,0.067,0.115,17.581,17.763
Sim6,PSO,0.013,0.088,0.15,23.069,23.307
Sim7,PSO,0.013,0.092,0.158,24.232,24.482
Sim8,PSO,0.013,0.092,0.157,24.109,24.358
Sim9,PSO,0.012,0.082,0.14,21.494,21.716
Sim10,PSO,0.009,0.066,0.113,17.297,17.476
