TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787005923904,16.3,1.4,-0.1,0.0,15.0,0.9
63787005925007,32.3,17.4,-0.1,0.0,15.0,14.1
63787005926082,29.2,14.3,-0.1,0.0,15.0,11.8
63787005927193,27.9,13.0,-0.1,0.0,15.0,10.1
63787005928306,29.6,14.7,-0.1,0.0,15.0,11.7
63787005929396,28.6,13.7,-0.1,0.0,15.0,11.5
63787005930479,29.4,14.5,-0.1,0.0,15.0,11.8
63787005931549,29.6,14.7,-0.1,0.0,15.0,11.1
63787005932635,29.6,14.7,-0.1,0.0,15.0,12.8
63787005933704,27.9,13.0,-0.1,0.0,15.0,10.0
63787005934793,28.9,14.0,-0.1,0.0,15.0,11.5
63787005935850,29.1,14.2,-0.1,0.0,15.0,11.2
63787005936941,28.3,13.4,-0.1,0.0,15.0,9.4
63787005938042,30.4,15.5,-0.1,0.0,15.0,12.9
63787005939103,29.6,14.7,-0.1,0.0,15.0,11.8
63787005940167,31.0,16.1,-0.1,0.0,15.0,12.6
63787005941272,29.3,14.4,-0.1,0.0,15.0,12.0
63787005942348,32.4,17.5,-0.1,0.0,15.0,9.9
63787005943475,28.8,13.9,-0.1,0.0,15.0,11.9
63787005944574,32.5,17.6,-0.1,0.0,15.0,15.4
63787005945642,29.6,14.7,-0.1,0.0,15.0,11.4
63787005946717,27.9,13.0,-0.1,0.0,15.0,9.6
63787005947825,29.1,14.2,-0.1,0.0,15.0,10.7
63787005948906,30.5,15.6,-0.1,0.0,15.0,13.4
63787005950006,29.5,14.6,-0.1,0.0,15.0,11.6
63787005951083,29.0,14.1,-0.1,0.0,15.0,11.3
63787005952172,30.8,15.9,-0.1,0.0,15.0,13.2
63787005953275,31.2,16.3,-0.1,0.0,15.0,13.9
63787005954387,28.8,13.9,-0.1,0.0,15.0,10.6
63787005955486,30.5,15.6,-0.1,0.0,15.0,12.6
63787005956588,28.2,13.3,-0.1,0.0,15.0,10.4
63787005957660,29.4,14.5,-0.1,0.0,15.0,11.9
63787005958751,29.3,14.4,-0.1,0.0,15.0,12.3
63787005959832,28.7,13.8,-0.1,0.0,15.0,10.0
63787005960941,28.6,13.7,-0.1,0.0,15.0,10.6
63787005962035,30.8,15.9,-0.1,0.0,15.0,12.6
63787005963127,29.7,14.8,-0.1,0.0,15.0,11.0
63787005964235,30.9,16.0,-0.1,0.0,15.0,13.3
63787005965335,29.9,15.0,-0.1,0.0,15.0,13.0
63787005966405,29.5,14.6,-0.1,0.0,15.0,11.3
63787005967509,29.5,14.6,-0.1,0.0,15.0,11.8
63787005968598,30.2,15.3,-0.1,0.0,15.0,11.7
63787005969700,28.3,13.4,-0.1,0.0,15.0,11.3
63787005970810,29.3,14.4,-0.1,0.0,15.0,12.0
63787005971917,29.7,14.8,-0.1,0.0,15.0,12.1
63787005973001,29.4,14.5,-0.1,0.0,15.0,11.0
63787005974100,29.6,14.7,-0.1,0.0,15.0,11.7
63787005975182,31.0,16.1,-0.1,0.0,15.0,11.8
63787005976256,30.1,15.2,-0.1,0.0,15.0,12.7
63787005977326,28.8,13.9,-0.1,0.0,15.0,10.5
63787005978409,30.0,15.1,-0.1,0.0,15.0,12.3
63787005979510,28.3,13.4,-0.1,0.0,15.0,11.1
63787005980595,28.9,14.0,-0.1,0.0,15.0,11.4
63787005981664,30.9,16.0,-0.1,0.0,15.0,13.2
63787005982766,30.5,15.6,-0.1,0.0,15.0,12.9
