TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787302578878,27.8,12.9,-0.1,0.0,15.0,12.2
63787302579956,29.3,14.4,-0.1,0.0,15.0,11.2
63787302581025,28.6,13.7,-0.1,0.0,15.0,11.6
63787302582118,29.7,14.8,-0.1,0.0,15.0,12.4
63787302583196,28.7,13.8,-0.1,0.0,15.0,11.5
63787302584290,28.4,13.5,-0.1,0.0,15.0,11.8
63787302585367,29.4,14.5,-0.1,0.0,15.0,12.4
63787302586445,29.4,14.5,-0.1,0.0,15.0,12.0
63787302587539,28.9,14.0,-0.1,0.0,15.0,11.9
63787302588632,30.2,15.3,-0.1,0.0,15.0,11.7
63787302589694,29.1,14.2,-0.1,0.0,15.0,11.9
63787302590788,29.0,14.1,-0.1,0.0,15.0,11.6
63787302591866,29.1,14.2,-0.1,0.0,15.0,12.2
63787302592944,28.2,13.3,-0.1,0.0,15.0,11.2
63787302594022,29.5,14.6,-0.1,0.0,15.0,12.5
63787302595115,29.0,14.1,-0.1,0.0,15.0,11.6
63787302596209,29.9,15.0,-0.1,0.0,15.0,12.6
63787302597286,29.2,14.3,-0.1,0.0,15.0,12.0
63787302598364,28.9,14.0,-0.1,0.0,15.0,11.6
63787302599427,29.7,14.8,-0.1,0.0,15.0,11.9
63787302600536,28.2,13.3,-0.1,0.0,15.0,11.2
63787302601614,29.2,14.3,-0.1,0.0,15.0,12.0
63787302602707,29.2,14.3,-0.1,0.0,15.0,11.9
63787302603785,29.2,14.3,-0.1,0.0,15.0,12.2
63787302604878,29.9,15.0,-0.1,0.0,15.0,12.7
63787302605941,28.7,13.8,-0.1,0.0,15.0,11.9
63787302607018,28.3,13.4,-0.1,0.0,15.0,10.9
63787302608112,29.6,14.7,-0.1,0.0,15.0,12.9
63787302609205,28.8,13.9,-0.1,0.0,15.0,11.6
63787302610283,29.5,14.6,-0.1,0.0,15.0,12.5
63787302611361,29.4,14.5,-0.1,0.0,15.0,12.3
63787302612457,26.9,12.0,-0.1,0.0,15.0,10.8
63787302613521,25.8,10.9,-0.1,0.0,15.0,10.0
63787302614614,27.3,12.4,-0.1,0.0,15.0,11.6
63787302615692,28.5,13.6,-0.1,0.0,15.0,12.3
63787302616789,28.1,13.2,-0.1,0.0,15.0,12.4
63787302617858,26.6,11.7,-0.1,0.0,15.0,10.6
63787302618954,25.7,10.8,-0.1,0.0,15.0,9.7
63787302620032,28.9,14.0,-0.1,0.0,15.0,12.2
63787302621125,27.9,13.0,-0.1,0.0,15.0,12.1
63787302622219,27.3,12.4,-0.1,0.0,15.0,11.3
63787302623296,26.3,11.4,-0.1,0.0,15.0,10.2
63787302624387,26.2,11.3,-0.1,0.0,15.0,10.4
63787302625449,27.7,12.8,-0.1,0.0,15.0,11.3
63787302626539,26.7,11.8,-0.1,0.0,15.0,11.4
63787302627617,28.4,13.5,-0.1,0.0,15.0,12.2
63787302628702,26.5,11.6,-0.1,0.0,15.0,10.2
63787302629770,26.1,11.2,-0.1,0.0,15.0,10.5
63787302630863,27.6,12.7,-0.1,0.0,15.0,12.1
63787302631947,28.4,13.5,-0.1,0.0,15.0,11.9
63787302633049,27.2,12.3,-0.1,0.0,15.0,11.4
63787302634127,27.4,12.5,-0.1,0.0,15.0,11.7
63787302635198,27.2,12.3,-0.1,0.0,15.0,11.4
63787302636291,27.3,12.4,-0.1,0.0,15.0,11.7
63787302637369,27.1,12.2,-0.1,0.0,15.0,11.6
63787302638431,27.8,12.9,-0.1,0.0,15.0,12.0
63787302639509,28.8,13.9,-0.1,0.0,15.0,12.5
63787302640587,27.8,12.9,-0.1,0.0,15.0,12.1
63787302641668,26.9,12.0,-0.1,0.0,15.0,11.2
63787302642750,28.1,13.2,-0.1,0.0,15.0,12.1
63787302643828,28.0,13.1,-0.1,0.0,15.0,12.0
63787302644906,26.3,11.4,-0.1,0.0,15.0,10.8
63787302645984,26.7,11.8,-0.1,0.0,15.0,11.3
63787302647066,28.3,13.4,-0.1,0.0,15.0,12.0
63787302648123,28.3,13.4,-0.1,0.0,15.0,12.0
63787302649201,27.9,13.0,-0.1,0.0,15.0,10.7
63787302650294,28.2,13.3,-0.1,0.0,15.0,12.7
63787302651388,28.8,13.9,-0.1,0.0,15.0,12.7
63787302652465,27.3,12.4,-0.1,0.0,15.0,11.8
63787302653559,27.5,12.6,-0.1,0.0,15.0,12.0
63787302654637,27.6,12.7,-0.1,0.0,15.0,11.3
63787302655715,27.6,12.7,-0.1,0.0,15.0,12.0
63787302656808,27.6,12.7,-0.1,0.0,15.0,12.4
63787302657902,27.1,12.2,-0.1,0.0,15.0,11.6
63787302658991,28.2,13.3,-0.1,0.0,15.0,11.9
63787302660072,27.2,12.3,-0.1,0.0,15.0,11.3
63787302661134,27.6,12.7,-0.1,0.0,15.0,11.6
63787302662212,27.4,12.5,-0.1,0.0,15.0,11.7
63787302663306,26.8,11.9,-0.1,0.0,15.0,11.2
63787302664384,27.5,12.6,-0.1,0.0,15.0,11.3
63787302665446,27.2,12.3,-0.1,0.0,15.0,11.5
63787302666508,26.9,12.0,-0.1,0.0,15.0,11.1
63787302667586,26.5,11.6,-0.1,0.0,15.0,10.5
63787302668664,27.3,12.4,-0.1,0.0,15.0,11.5
63787302669757,26.1,11.2,-0.1,0.0,15.0,9.6
63787302670820,27.9,13.0,-0.1,0.0,15.0,12.0
63787302671913,27.6,12.7,-0.1,0.0,15.0,11.6
63787302673007,27.8,12.9,-0.1,0.0,15.0,11.8
63787302674100,27.4,12.5,-0.1,0.0,15.0,11.9
63787302675178,27.3,12.4,-0.1,0.0,15.0,11.7
63787302676271,27.5,12.6,-0.1,0.0,15.0,11.1
63787302677365,28.1,13.2,-0.1,0.0,15.0,12.4
63787302678443,28.0,13.1,-0.1,0.0,15.0,12.2
63787302679536,27.1,12.2,-0.1,0.0,15.0,10.8
63787302680614,27.3,12.4,-0.1,0.0,15.0,11.2
63787302681696,28.1,13.2,-0.1,0.0,15.0,12.4
63787302682790,26.8,11.9,-0.1,0.0,15.0,11.3
63787302683883,26.7,11.8,-0.1,0.0,15.0,11.2
63787302684961,28.3,13.4,-0.1,0.0,15.0,11.6
63787302686039,27.8,12.9,-0.1,0.0,15.0,11.8
63787302687134,26.8,11.9,-0.1,0.0,15.0,10.7
63787302688212,28.3,13.4,-0.1,0.0,15.0,11.3
63787302689290,27.9,13.0,-0.1,0.0,15.0,11.8
63787302690383,27.4,12.5,-0.1,0.0,15.0,11.5
63787302691462,28.2,13.3,-0.1,0.0,15.0,12.7
63787302692540,28.0,13.1,-0.1,0.0,15.0,12.0
63787302693630,28.4,13.5,-0.1,0.0,15.0,12.6
63787302694708,28.2,13.3,-0.1,0.0,15.0,12.3
63787302695802,27.8,12.9,-0.1,0.0,15.0,11.5
63787302696899,27.7,12.8,-0.1,0.0,15.0,11.5
63787302697993,28.8,13.9,-0.1,0.0,15.0,12.5
63787302699071,26.5,11.6,-0.1,0.0,15.0,11.3
63787302700171,27.4,12.5,-0.1,0.0,15.0,11.7
63787302701257,27.8,12.9,-0.1,0.0,15.0,12.4
63787302702351,28.4,13.5,-0.1,0.0,15.0,12.3
63787302703413,29.8,14.9,-0.1,0.0,15.0,13.7
63787302704507,29.2,14.3,-0.1,0.0,15.0,13.0
63787302705605,26.2,11.3,-0.1,0.0,15.0,10.2
63787302706693,28.0,13.1,-0.1,0.0,15.0,12.6
63787302707791,28.7,13.8,-0.1,0.0,15.0,12.5
63787302708869,30.7,15.8,-0.1,0.0,15.0,12.7
63787302709947,27.1,12.2,-0.1,0.0,15.0,11.8
63787302711048,26.6,11.7,-0.1,0.0,15.0,10.7
63787302712126,27.5,12.6,-0.1,0.0,15.0,11.7
63787302713204,28.3,13.4,-0.1,0.0,15.0,12.6
63787302714297,28.1,13.2,-0.1,0.0,15.0,12.1
63787302715375,29.2,14.3,-0.1,0.0,15.0,13.0
63787302716453,29.2,14.3,-0.1,0.0,15.0,13.0
63787302717547,28.6,13.7,-0.1,0.0,15.0,12.6
63787302718624,27.0,12.1,-0.1,0.0,15.0,11.0
63787302719723,27.1,12.2,-0.1,0.0,15.0,11.5
63787302720817,28.0,13.1,-0.1,0.0,15.0,11.9
63787302721895,29.1,14.2,-0.1,0.0,15.0,12.9
63787302722988,29.1,14.2,-0.1,0.0,15.0,13.9
63787302724081,28.0,13.1,-0.1,0.0,15.0,11.4
63787302725175,28.0,13.1,-0.1,0.0,15.0,11.6
63787302726268,27.1,12.2,-0.1,0.0,15.0,11.4
63787302727362,28.7,13.8,-0.1,0.0,15.0,12.9
63787302728438,29.1,14.2,-0.1,0.0,15.0,12.8
63787302729532,28.2,13.3,-0.1,0.0,15.0,12.4
63787302730625,27.4,12.5,-0.1,0.0,15.0,11.5
63787302731672,23.3,8.4,-0.1,0.0,15.0,7.5
63787302732750,27.0,12.1,-0.1,0.0,15.0,10.5
63787302733828,29.3,14.4,-0.1,0.0,15.0,11.3
63787302734921,28.3,13.4,-0.1,0.0,15.0,10.3
63787302736015,27.8,12.9,-0.1,0.0,15.0,10.0
63787302737093,28.8,13.9,-0.1,0.0,15.0,11.6
63787302738186,29.3,14.4,-0.1,0.0,15.0,11.7
63787302739264,28.6,13.7,-0.1,0.0,15.0,11.1
63787302740357,28.8,13.9,-0.1,0.0,15.0,11.3
63787302741435,27.7,12.8,-0.1,0.0,15.0,10.0
63787302742513,28.6,13.7,-0.1,0.0,15.0,11.4
63787302743607,28.3,13.4,-0.1,0.0,15.0,10.7
63787302744685,29.1,14.2,-0.1,0.0,15.0,11.2
63787302745778,28.8,13.9,-0.1,0.0,15.0,11.0
63787302746856,28.5,13.6,-0.1,0.0,15.0,11.6
63787302747934,28.9,14.0,-0.1,0.0,15.0,10.7
63787302749012,28.2,13.3,-0.1,0.0,15.0,10.4
63787302750105,28.0,13.1,-0.1,0.0,15.0,10.6
63787302751167,28.0,13.1,-0.1,0.0,15.0,11.3
63787302752245,28.6,13.7,-0.1,0.0,15.0,11.3
