TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787026716291,27.1,12.2,-0.1,0.0,15.0,9.6
63787026717404,28.1,13.2,-0.1,0.0,15.0,11.3
63787026718530,25.5,10.6,-0.1,0.0,15.0,9.6
63787026719649,31.6,16.7,-0.1,0.0,15.0,14.7
63787026720756,27.7,12.8,-0.1,0.0,15.0,9.5
63787026721867,25.6,10.7,-0.1,0.0,15.0,9.4
63787026722993,27.2,12.3,-0.1,0.0,15.0,11.1
63787026724112,27.5,12.6,-0.1,0.0,15.0,11.4
63787026725209,26.4,11.5,-0.1,0.0,15.0,10.5
63787026726311,30.7,15.8,-0.1,0.0,15.0,13.4
63787026727425,26.7,11.8,-0.1,0.0,15.0,11.2
63787026728534,26.1,11.2,-0.1,0.0,15.0,10.3
63787026729655,28.3,13.4,-0.1,0.0,15.0,11.8
63787026730773,25.6,10.7,-0.1,0.0,15.0,8.9
63787026731908,28.7,13.8,-0.1,0.0,15.0,12.2
63787026733027,25.7,10.8,-0.1,0.0,15.0,9.8
63787026734144,26.5,11.6,-0.1,0.0,15.0,10.2
63787026735269,27.2,12.3,-0.1,0.0,15.0,9.7
63787026736396,26.2,11.3,-0.1,0.0,15.0,9.8
63787026737508,27.0,12.1,-0.1,0.0,15.0,10.8
63787026738626,27.1,12.2,-0.1,0.0,15.0,11.4
63787026739733,27.0,12.1,-0.1,0.0,15.0,10.7
63787026740846,28.8,13.9,-0.1,0.0,15.0,10.0
63787026741957,28.3,13.4,-0.1,0.0,15.0,9.9
63787026743063,28.2,13.3,-0.1,0.0,15.0,10.0
63787026744178,29.5,14.6,-0.1,0.0,15.0,11.3
63787026745294,28.7,13.8,-0.1,0.0,15.0,10.0
63787026746400,28.8,13.9,-0.1,0.0,15.0,11.3
63787026747496,28.2,13.3,-0.1,0.0,15.0,10.6
63787026748595,29.2,14.3,-0.1,0.0,15.0,11.5
63787026749691,28.1,13.2,-0.1,0.0,15.0,11.3
63787026750802,28.0,13.1,-0.1,0.0,15.0,10.3
63787026751916,28.3,13.4,-0.1,0.0,15.0,10.1
63787026752999,28.0,13.1,-0.1,0.0,15.0,10.3
63787026754093,28.7,13.8,-0.1,0.0,15.0,10.7
63787026755193,29.6,14.7,-0.1,0.0,15.0,11.6
63787026756300,28.1,13.2,-0.1,0.0,15.0,10.5
63787026757403,28.3,13.4,-0.1,0.0,15.0,10.4
63787026758517,28.6,13.7,-0.1,0.0,15.0,10.7
63787026759621,28.4,13.5,-0.1,0.0,15.0,9.8
63787026760735,28.6,13.7,-0.1,0.0,15.0,10.5
63787026761831,27.3,12.4,-0.1,0.0,15.0,10.1
63787026762925,28.3,13.4,-0.1,0.0,15.0,10.8
63787026764028,28.4,13.5,-0.1,0.0,15.0,10.6
63787026765144,29.6,14.7,-0.1,0.0,15.0,11.5
63787026766246,26.7,11.8,-0.1,0.0,15.0,10.2
63787026767346,26.1,11.2,-0.1,0.0,15.0,10.2
63787026768453,26.3,11.4,-0.1,0.0,15.0,10.1
63787026769571,26.9,12.0,-0.1,0.0,15.0,10.7
63787026770693,27.3,12.4,-0.1,0.0,15.0,9.1
63787026771796,25.9,11.0,-0.1,0.0,15.0,9.6
63787026772910,29.2,14.3,-0.1,0.0,15.0,11.4
63787026774012,25.1,10.2,-0.1,0.0,15.0,9.6
63787026775126,24.3,9.4,-0.1,0.0,15.0,8.5
63787026776241,27.2,12.3,-0.1,0.0,15.0,10.8
63787026777339,29.0,14.1,-0.1,0.0,15.0,11.8
63787026778441,29.5,14.6,-0.1,0.0,15.0,12.5
63787026779540,27.9,13.0,-0.1,0.0,15.0,10.9
63787026780638,26.6,11.7,-0.1,0.0,15.0,10.1
63787026781748,26.6,11.7,-0.1,0.0,15.0,9.4
63787026782860,28.3,13.4,-0.1,0.0,15.0,12.1
63787026783984,27.2,12.3,-0.1,0.0,15.0,10.8
63787026785092,25.1,10.2,-0.1,0.0,15.0,8.6
63787026786200,27.4,12.5,-0.1,0.0,15.0,9.7
63787026787306,27.3,12.4,-0.1,0.0,15.0,11.2
63787026788409,27.0,12.1,-0.1,0.0,15.0,8.9
63787026789530,28.4,13.5,-0.1,0.0,15.0,12.0
63787026790633,28.1,13.2,-0.1,0.0,15.0,11.5
63787026791737,26.3,11.4,-0.1,0.0,15.0,10.3
63787026792839,27.6,12.7,-0.1,0.0,15.0,10.3
63787026793981,30.6,15.7,-0.1,0.0,15.0,10.5
63787026795102,27.3,12.4,-0.1,0.0,15.0,10.1
63787026796207,29.8,14.9,-0.1,0.0,15.0,12.2
63787026797302,27.6,12.7,-0.1,0.0,15.0,11.6
63787026798409,27.2,12.3,-0.1,0.0,15.0,9.2
63787026799530,29.9,15.0,-0.1,0.0,15.0,13.6
63787026800636,25.0,10.1,-0.1,0.0,15.0,8.8
63787026801738,26.6,11.7,-0.1,0.0,15.0,9.8
63787026802842,29.6,14.7,-0.1,0.0,15.0,11.6
63787026803959,28.4,13.5,-0.1,0.0,15.0,12.0
63787026805063,26.6,11.7,-0.1,0.0,15.0,10.3
63787026806193,29.6,14.7,-0.1,0.0,15.0,12.6
63787026807309,27.8,12.9,-0.1,0.0,15.0,10.6
63787026808427,28.7,13.8,-0.1,0.0,15.0,12.5
63787026809535,28.8,13.9,-0.1,0.0,15.0,12.0
63787026810643,26.7,11.8,-0.1,0.0,15.0,10.8
