TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63786948376446,34.3,19.4,-0.1,0.0,15.0,7.2
63786948377618,28.2,13.3,-0.1,0.0,15.0,9.5
63786948378805,27.1,12.2,-0.1,0.0,15.0,10.1
63786948379992,29.3,14.4,-0.1,0.0,15.0,10.7
63786948381179,29.6,14.7,-0.1,0.0,15.0,11.0
63786948382366,28.8,13.9,-0.1,0.0,15.0,11.1
63786948383554,33.6,18.7,-0.1,0.0,15.0,9.1
63786948384741,28.3,13.4,-0.1,0.0,15.0,10.6
63786948385969,38.1,23.2,-0.1,0.0,15.0,8.1
63786948387140,29.4,14.4,-0.1,0.0,15.0,11.8
63786948388327,27.7,12.8,-0.1,0.0,15.0,11.3
63786948389515,30.1,15.2,-0.1,0.0,15.0,11.3
63786948390702,28.4,13.5,-0.1,0.0,15.0,10.4
63786948391873,27.3,12.4,-0.1,0.0,15.0,11.0
63786948393061,27.3,12.4,-0.1,0.0,15.0,10.7
63786948394232,27.2,12.2,-0.1,0.0,15.0,10.4
63786948395404,28.9,14.0,-0.1,0.0,15.0,11.9
63786948396591,28.1,13.2,-0.1,0.0,15.0,11.5
63786948397763,27.1,12.2,-0.1,0.0,15.0,10.6
63786948398950,26.4,11.5,-0.1,0.0,15.0,10.0
63786948400137,27.5,12.6,-0.1,0.0,15.0,11.1
63786948401324,28.0,13.1,-0.1,0.0,15.0,11.6
63786948402496,27.2,12.3,-0.1,0.0,15.0,11.1
63786948403683,27.3,12.4,-0.1,0.0,15.0,10.2
63786948404870,29.0,14.1,-0.1,0.0,15.0,12.6
63786948406058,27.2,12.3,-0.1,0.0,15.0,10.7
63786948407245,26.8,11.9,-0.1,0.0,15.0,10.4
63786948408416,26.8,11.9,-0.1,0.0,15.0,10.4
63786948409588,28.1,13.2,-0.1,0.0,15.0,11.7
63786948410760,28.4,13.5,-0.1,0.0,15.0,11.5
63786948411947,26.0,11.1,-0.1,0.0,15.0,9.7
63786948413118,28.1,13.2,-0.1,0.0,15.0,11.4
63786948414290,27.1,12.2,-0.1,0.0,15.0,10.6
63786948415477,28.5,13.6,-0.1,0.0,15.0,11.9
63786948416664,27.9,13.0,-0.1,0.0,15.0,11.4
63786948417836,26.6,11.7,-0.1,0.0,15.0,10.2
63786948419023,27.4,12.5,-0.1,0.0,15.0,10.9
63786948420210,28.5,13.6,-0.1,0.0,15.0,12.2
63786948421398,28.5,13.6,-0.1,0.0,15.0,12.0
63786948422585,29.1,14.2,-0.1,0.0,15.0,12.5
63786948423756,27.9,13.0,-0.1,0.0,15.0,11.0
