TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787047835912,24.9,10.0,-0.1,0.0,15.0,8.3
63787047837099,27.4,12.5,-0.1,0.0,15.0,11.0
63787047838286,29.1,14.2,-0.1,0.0,15.0,11.9
63787047839474,30.1,15.2,-0.1,0.0,15.0,12.5
63787047840648,29.6,14.7,-0.1,0.0,15.0,11.4
63787047841836,27.5,12.6,-0.1,0.0,15.0,10.9
63787047843023,27.5,12.6,-0.1,0.0,15.0,10.4
63787047844210,27.8,12.9,-0.1,0.0,15.0,10.1
63787047845382,28.3,13.4,-0.1,0.0,15.0,11.6
63787047846567,28.7,13.8,-0.1,0.0,15.0,10.6
63787047847754,29.1,14.2,-0.1,0.0,15.0,11.5
63787047848941,28.3,13.4,-0.1,0.0,15.0,10.6
63787047850128,30.0,15.1,-0.1,0.0,15.0,13.2
63787047851313,29.8,14.9,-0.1,0.0,15.0,12.1
63787047852500,28.5,13.6,-0.1,0.0,15.0,11.5
63787047853703,29.0,14.1,-0.1,0.0,15.0,12.3
63787047854906,27.6,12.7,-0.1,0.0,15.0,10.8
63787047856109,29.4,14.5,-0.1,0.0,15.0,12.3
63787047857296,26.7,11.8,-0.1,0.0,15.0,9.9
63787047858483,27.8,12.9,-0.1,0.0,15.0,11.3
63787047859686,28.6,13.7,-0.1,0.0,15.0,11.5
63787047860861,29.5,14.6,-0.1,0.0,15.0,11.0
63787047862048,29.9,15.0,-0.1,0.0,15.0,11.4
63787047863235,28.3,13.4,-0.1,0.0,15.0,9.6
63787047864407,29.7,14.8,-0.1,0.0,15.0,11.5
63787047865594,28.7,13.8,-0.1,0.0,15.0,10.9
63787047866766,28.7,13.8,-0.1,0.0,15.0,10.4
63787047867937,29.2,14.3,-0.1,0.0,15.0,11.5
63787047869124,29.9,15.0,-0.1,0.0,15.0,11.3
63787047870312,29.3,14.4,-0.1,0.0,15.0,10.9
63787047871485,30.5,15.6,-0.1,0.0,15.0,11.3
63787047872672,28.8,13.9,-0.1,0.0,15.0,11.0
63787047873865,29.2,14.3,-0.1,0.0,15.0,11.5
63787047875052,28.9,14.0,-0.1,0.0,15.0,10.7
63787047876239,30.0,15.1,-0.1,0.0,15.0,11.8
63787047877426,29.3,14.4,-0.1,0.0,15.0,10.5
63787047878614,29.0,14.1,-0.1,0.0,15.0,10.8
63787047879785,28.5,13.6,-0.1,0.0,15.0,9.9
63787047880957,29.1,14.2,-0.1,0.0,15.0,10.7
63787047882128,28.3,13.4,-0.1,0.0,15.0,9.7
63787047883316,29.3,14.4,-0.1,0.0,15.0,10.7
63787047884503,28.8,13.9,-0.1,0.0,15.0,10.8
63787047885690,28.3,13.4,-0.1,0.0,15.0,10.5
63787047886862,28.7,13.8,-0.1,0.0,15.0,12.1
63787047888065,26.3,11.4,-0.1,0.0,15.0,9.4
63787047889252,29.7,14.8,-0.1,0.0,15.0,13.3
63787047890423,28.1,13.2,-0.1,0.0,15.0,10.8
63787047891594,27.5,12.6,-0.1,0.0,15.0,11.4
63787047892768,28.0,13.1,-0.1,0.0,15.0,10.9
63787047893956,28.5,13.6,-0.1,0.0,15.0,11.5
63787047895127,27.4,12.5,-0.1,0.0,15.0,10.9
63787047896299,27.7,12.8,-0.1,0.0,15.0,11.2
63787047897469,26.9,12.0,-0.1,0.0,15.0,10.2
63787047898641,28.1,13.2,-0.1,0.0,15.0,11.2
63787047899812,27.3,12.4,-0.1,0.0,15.0,10.1
63787047900968,28.0,13.1,-0.1,0.0,15.0,11.5
63787047902143,29.2,14.3,-0.1,0.0,15.0,11.1
63787047903334,29.1,14.2,-0.1,0.0,15.0,12.0
63787047904505,28.9,14.0,-0.1,0.0,15.0,11.0
63787047905677,27.0,12.1,-0.1,0.0,15.0,10.1
63787047906848,26.3,11.4,-0.1,0.0,15.0,9.6
63787047908028,29.0,14.1,-0.1,0.0,15.0,11.5
63787047909215,29.2,14.3,-0.1,0.0,15.0,12.2
63787047910387,28.3,13.4,-0.1,0.0,15.0,11.1
63787047911559,29.4,14.5,-0.1,0.0,15.0,12.3
63787047912798,28.6,13.7,-0.1,0.0,15.0,11.2
63787047913985,29.1,14.2,-0.1,0.0,15.0,11.6
63787047915172,28.2,13.3,-0.1,0.0,15.0,11.8
63787047916359,27.8,12.9,-0.1,0.0,15.0,11.0
63787047917581,26.7,11.8,-0.1,0.0,15.0,10.1
63787047918769,28.1,13.2,-0.1,0.0,15.0,9.3
63787047919940,28.2,13.3,-0.1,0.0,15.0,11.0
63787047921112,26.7,11.8,-0.1,0.0,15.0,9.8
63787047922283,25.1,10.2,-0.1,0.0,15.0,8.5
63787047923479,29.6,14.7,-0.1,0.0,15.0,11.9
63787047924666,27.2,12.3,-0.1,0.0,15.0,10.5
63787047925853,29.4,14.5,-0.1,0.0,15.0,11.9
63787047927041,29.0,14.1,-0.1,0.0,15.0,11.6
63787047928219,29.1,14.2,-0.1,0.0,15.0,12.3
63787047929406,28.3,13.4,-0.1,0.0,15.0,12.0
63787047930594,29.0,14.1,-0.1,0.0,15.0,12.0
63787047931781,30.6,15.7,-0.1,0.0,15.0,14.1
63787047932954,28.3,13.4,-0.1,0.0,15.0,11.2
63787047934144,28.2,13.3,-0.1,0.0,15.0,11.4
63787047935316,28.9,14.0,-0.1,0.0,15.0,10.9
63787047936491,27.4,12.5,-0.1,0.0,15.0,9.7
63787047937663,27.2,12.3,-0.1,0.0,15.0,10.7
63787047938826,27.2,12.3,-0.1,0.0,15.0,10.0
63787047940017,27.1,12.2,-0.1,0.0,15.0,10.1
63787047941188,28.4,13.5,-0.1,0.0,15.0,11.0
63787047942382,29.6,14.7,-0.1,0.0,15.0,11.9
63787047943570,29.6,14.7,-0.1,0.0,15.0,12.9
63787047944741,28.1,13.2,-0.1,0.0,15.0,11.8
63787047945968,29.1,14.2,-0.1,0.0,15.0,12.1
63787047947155,29.2,14.3,-0.1,0.0,15.0,11.4
63787047948342,29.1,14.2,-0.1,0.0,15.0,12.5
63787047949529,28.8,13.9,-0.1,0.0,15.0,12.3
63787047950724,29.4,14.5,-0.1,0.0,15.0,12.5
63787047951911,28.2,13.3,-0.1,0.0,15.0,11.7
63787047953098,27.1,12.2,-0.1,0.0,15.0,10.8
63787047954278,29.7,14.8,-0.1,0.0,15.0,12.8
63787047955466,29.5,14.6,-0.1,0.0,15.0,13.1
63787047956637,28.2,13.3,-0.1,0.0,15.0,11.6
63787047957850,27.4,12.5,-0.1,0.0,15.0,10.0
63787047959038,28.6,13.7,-0.1,0.0,15.0,11.8
63787047960225,28.6,13.7,-0.1,0.0,15.0,11.1
63787047961412,29.9,15.0,-0.1,0.0,15.0,13.4
63787047962577,28.7,13.8,-0.1,0.0,15.0,11.9
63787047963757,26.6,11.7,-0.1,0.0,15.0,9.4
63787047964928,29.2,14.3,-0.1,0.0,15.0,13.1
63787047966092,26.6,11.7,-0.1,0.0,15.0,9.7
63787047967275,26.6,11.7,-0.1,0.0,15.0,9.8
63787047968447,30.6,15.7,-0.1,0.0,15.0,13.0
63787047969613,28.8,13.9,-0.1,0.0,15.0,11.9
63787047970785,27.1,12.2,-0.1,0.0,15.0,10.6
63787047971966,29.6,14.7,-0.1,0.0,15.0,12.2
63787047973153,28.3,13.4,-0.1,0.0,15.0,12.0
63787047974340,28.3,13.4,-0.1,0.0,15.0,11.2
63787047975512,28.2,13.3,-0.1,0.0,15.0,11.6
63787047976699,26.5,11.6,-0.1,0.0,15.0,10.3
63787047977886,27.8,12.9,-0.1,0.0,15.0,11.0
63787047979058,27.1,12.2,-0.1,0.0,15.0,10.5
63787047980230,27.4,12.5,-0.1,0.0,15.0,11.6
63787047981401,27.6,12.7,-0.1,0.0,15.0,10.5
63787047982557,28.1,13.2,-0.1,0.0,15.0,11.9
63787047983760,29.7,14.8,-0.1,0.0,15.0,11.9
63787047984932,30.0,15.1,-0.1,0.0,15.0,12.1
63787047986103,29.7,14.8,-0.1,0.0,15.0,12.0
63787047987275,29.6,14.7,-0.1,0.0,15.0,11.4
63787047988446,29.3,14.4,-0.1,0.0,15.0,11.4
63787047989615,30.1,15.2,-0.1,0.0,15.0,12.4
63787047990787,29.2,14.3,-0.1,0.0,15.0,11.2
63787047991969,28.7,13.8,-0.1,0.0,15.0,10.6
63787047993150,30.4,15.5,-0.1,0.0,15.0,11.2
63787047994321,29.4,14.5,-0.1,0.0,15.0,11.9
63787047995493,30.2,15.3,-0.1,0.0,15.0,11.9
63787047996660,29.8,14.9,-0.1,0.0,15.0,12.3
63787047997848,28.7,13.8,-0.1,0.0,15.0,10.6
63787047999035,29.0,14.1,-0.1,0.0,15.0,10.8
63787048000222,28.9,14.0,-0.1,0.0,15.0,11.1
63787048001394,29.5,14.5,-0.1,0.0,15.0,11.2
63787048002565,28.7,13.8,-0.1,0.0,15.0,11.0
