TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63787303716069,15.3,0.4,-0.1,0.0,15.0,0.1
63787303717168,29.5,14.6,-0.1,0.0,15.0,11.2
63787303718230,28.5,13.6,-0.1,0.0,15.0,10.9
63787303719324,28.2,13.3,-0.1,0.0,15.0,11.8
63787303720417,28.4,13.5,-0.1,0.0,15.0,10.6
63787303721495,26.9,12.0,-0.1,0.0,15.0,9.8
63787303722573,28.1,13.2,-0.1,0.0,15.0,11.2
63787303723666,29.0,14.1,-0.1,0.0,15.0,10.7
63787303724760,27.1,12.2,-0.1,0.0,15.0,9.8
63787303725839,28.7,13.8,-0.1,0.0,15.0,10.8
63787303726917,28.4,13.5,-0.1,0.0,15.0,10.7
63787303727995,27.4,12.5,-0.1,0.0,15.0,9.4
63787303729057,28.7,13.8,-0.1,0.0,15.0,11.4
63787303730151,28.5,13.6,-0.1,0.0,15.0,10.7
63787303731244,28.5,13.6,-0.1,0.0,15.0,11.1
63787303732337,29.1,14.2,-0.1,0.0,15.0,11.1
63787303733417,28.3,13.4,-0.1,0.0,15.0,10.8
63787303734494,27.8,12.9,-0.1,0.0,15.0,10.4
63787303735572,27.7,12.8,-0.1,0.0,15.0,10.6
63787303736666,29.1,14.2,-0.1,0.0,15.0,11.4
63787303737744,28.9,14.0,-0.1,0.0,15.0,10.8
63787303738837,27.8,12.9,-0.1,0.0,15.0,10.5
63787303739915,27.7,12.8,-0.1,0.0,15.0,10.1
63787303741009,28.0,13.1,-0.1,0.0,15.0,10.8
63787303742105,27.9,13.0,-0.1,0.0,15.0,9.8
63787303743214,27.7,12.8,-0.1,0.0,15.0,10.4
63787303744307,28.1,13.2,-0.1,0.0,15.0,11.0
63787303745401,28.5,13.6,-0.1,0.0,15.0,10.7
63787303746494,28.7,13.8,-0.1,0.0,15.0,11.3
63787303747572,29.6,14.7,-0.1,0.0,15.0,12.2
63787303748650,28.0,13.1,-0.1,0.0,15.0,11.6
63787303749728,29.5,14.6,-0.1,0.0,15.0,12.0
63787303750822,28.1,13.2,-0.1,0.0,15.0,10.0
63787303751900,27.5,12.6,-0.1,0.0,15.0,10.2
63787303752994,27.0,12.1,-0.1,0.0,15.0,9.6
63787303754072,28.5,13.6,-0.1,0.0,15.0,10.7
63787303755134,28.0,13.1,-0.1,0.0,15.0,10.7
63787303756227,29.5,14.6,-0.1,0.0,15.0,11.3
63787303757321,29.0,14.1,-0.1,0.0,15.0,11.9
63787303758399,28.1,13.2,-0.1,0.0,15.0,10.4
63787303759495,27.9,13.0,-0.1,0.0,15.0,11.3
63787303760568,26.7,11.8,-0.1,0.0,15.0,11.2
63787303761645,29.1,14.2,-0.1,0.0,15.0,12.5
63787303762753,27.1,12.2,-0.1,0.0,15.0,10.9
63787303763831,27.6,12.7,-0.1,0.0,15.0,11.3
63787303764896,27.0,12.1,-0.1,0.0,15.0,10.8
63787303765992,28.9,14.0,-0.1,0.0,15.0,12.8
63787303767088,29.2,14.3,-0.1,0.0,15.0,12.7
63787303768169,28.1,13.2,-0.1,0.0,15.0,11.9
63787303769263,29.0,14.1,-0.1,0.0,15.0,12.0
63787303770345,29.3,14.4,-0.1,0.0,15.0,12.3
63787303771423,27.9,13.0,-0.1,0.0,15.0,12.0
63787303772532,27.4,12.5,-0.1,0.0,15.0,11.5
63787303773622,28.3,13.4,-0.1,0.0,15.0,12.3
63787303774700,27.3,12.4,-0.1,0.0,15.0,11.5
63787303775794,27.5,12.6,-0.1,0.0,15.0,11.6
63787303776870,26.3,11.4,-0.1,0.0,15.0,11.0
63787303777948,28.1,13.2,-0.1,0.0,15.0,12.0
63787303779042,27.5,12.6,-0.1,0.0,15.0,11.9
63787303780137,29.4,14.5,-0.1,0.0,15.0,12.5
63787303781222,27.5,12.6,-0.1,0.0,15.0,11.8
63787303782283,28.2,13.3,-0.1,0.0,15.0,11.5
63787303783360,28.9,14.0,-0.1,0.0,15.0,12.0
63787303784438,30.2,15.3,-0.1,0.0,15.0,12.9
63787303785532,27.9,13.0,-0.1,0.0,15.0,10.9
63787303786625,28.8,13.9,-0.1,0.0,15.0,11.7
63787303787703,29.5,14.6,-0.1,0.0,15.0,12.1
63787303788785,29.0,14.0,-0.1,0.0,15.0,11.7
63787303789879,29.4,14.5,-0.1,0.0,15.0,11.6
63787303790956,30.0,15.1,-0.1,0.0,15.0,13.3
63787303792050,29.8,14.9,-0.1,0.0,15.0,12.4
63787303793143,29.3,14.4,-0.1,0.0,15.0,12.3
63787303794221,28.7,13.8,-0.1,0.0,15.0,11.5
63787303795303,28.9,14.0,-0.1,0.0,15.0,11.7
63787303796391,30.0,15.1,-0.1,0.0,15.0,12.6
63787303797468,29.3,14.4,-0.1,0.0,15.0,12.0
63787303798562,29.7,14.8,-0.1,0.0,15.0,12.6
63787303799655,29.5,14.6,-0.1,0.0,15.0,12.0
63787303800733,28.7,13.8,-0.1,0.0,15.0,11.7
63787303801815,30.1,15.2,-0.1,0.0,15.0,12.2
63787303802908,29.6,14.7,-0.1,0.0,15.0,12.1
63787303804002,29.3,14.4,-0.1,0.0,15.0,11.9
63787303805068,28.4,13.5,-0.1,0.0,15.0,12.2
63787303806162,29.9,15.0,-0.1,0.0,15.0,12.7
63787303807249,31.2,16.3,-0.1,0.0,15.0,12.0
63787303808320,28.9,14.0,-0.1,0.0,15.0,11.6
63787303809423,29.1,14.2,-0.1,0.0,15.0,11.9
63787303810501,29.1,14.2,-0.1,0.0,15.0,12.1
63787303811578,28.9,14.0,-0.1,0.0,15.0,11.8
63787303812672,29.1,14.2,-0.1,0.0,15.0,12.2
63787303813750,28.5,13.6,-0.1,0.0,15.0,11.4
63787303814817,29.9,15.0,-0.1,0.0,15.0,12.7
63787303815895,27.5,12.6,-0.1,0.0,15.0,10.9
63787303816973,27.4,12.5,-0.1,0.0,15.0,11.7
63787303818051,27.1,12.2,-0.1,0.0,15.0,10.9
63787303819146,27.2,12.3,-0.1,0.0,15.0,10.8
63787303820230,26.5,11.6,-0.1,0.0,15.0,11.0
63787303821324,26.3,11.4,-0.1,0.0,15.0,10.1
63787303822412,26.3,11.4,-0.1,0.0,15.0,10.9
63787303823490,26.4,11.5,-0.1,0.0,15.0,10.2
63787303824569,27.3,12.4,-0.1,0.0,15.0,11.6
63787303825670,28.8,13.9,-0.1,0.0,15.0,12.6
63787303826748,26.5,11.6,-0.1,0.0,15.0,10.6
63787303827826,27.5,12.6,-0.1,0.0,15.0,11.4
63787303828925,29.0,14.1,-0.1,0.0,15.0,13.3
63787303830003,28.1,13.2,-0.1,0.0,15.0,11.4
63787303831080,26.8,11.9,-0.1,0.0,15.0,11.5
63787303832171,29.2,14.3,-0.1,0.0,15.0,13.3
63787303833238,28.6,13.7,-0.1,0.0,15.0,13.0
63787303834318,28.0,13.1,-0.1,0.0,15.0,11.2
63787303835425,27.8,12.9,-0.1,0.0,15.0,12.0
63787303836512,26.8,11.9,-0.1,0.0,15.0,11.1
63787303837606,26.6,11.7,-0.1,0.0,15.0,10.9
63787303838719,27.2,12.3,-0.1,0.0,15.0,10.5
63787303839798,27.8,12.9,-0.1,0.0,15.0,11.9
63787303840867,26.7,11.8,-0.1,0.0,15.0,11.0
63787303841945,28.1,13.2,-0.1,0.0,15.0,12.5
63787303843043,29.2,14.3,-0.1,0.0,15.0,12.4
63787303844127,27.8,12.9,-0.1,0.0,15.0,11.3
63787303845213,27.1,12.2,-0.1,0.0,15.0,11.8
63787303846282,27.7,12.8,-0.1,0.0,15.0,11.4
63787303847367,28.5,13.6,-0.1,0.0,15.0,12.1
63787303848445,28.2,13.3,-0.1,0.0,15.0,12.2
63787303849545,26.3,11.4,-0.1,0.0,15.0,9.9
63787303850624,26.9,12.0,-0.1,0.0,15.0,10.4
63787303851696,27.7,12.8,-0.1,0.0,15.0,11.6
63787303852801,27.8,12.9,-0.1,0.0,15.0,11.6
63787303853881,26.6,11.7,-0.1,0.0,15.0,10.1
63787303854977,26.8,11.9,-0.1,0.0,15.0,11.1
63787303856070,27.3,12.4,-0.1,0.0,15.0,10.9
63787303857170,28.8,13.9,-0.1,0.0,15.0,12.5
63787303858263,27.0,12.1,-0.1,0.0,15.0,11.1
63787303859357,27.3,12.4,-0.1,0.0,15.0,11.3
63787303860444,27.4,12.5,-0.1,0.0,15.0,11.6
63787303861522,29.4,14.5,-0.1,0.0,15.0,13.6
63787303862611,27.8,12.9,-0.1,0.0,15.0,11.6
63787303863678,28.3,13.4,-0.1,0.0,15.0,12.0
63787303864772,27.2,12.3,-0.1,0.0,15.0,11.5
63787303865877,29.5,14.6,-0.1,0.0,15.0,13.0
63787303866939,27.4,12.5,-0.1,0.0,15.0,12.0
63787303868033,28.0,13.1,-0.1,0.0,15.0,11.8
63787303869122,27.2,12.3,-0.1,0.0,15.0,10.9
63787303870199,28.3,13.4,-0.1,0.0,15.0,12.7
63787303871277,26.8,11.9,-0.1,0.0,15.0,11.1
63787303872370,26.4,11.5,-0.1,0.0,15.0,10.2
63787303873448,26.7,11.8,-0.1,0.0,15.0,10.9
63787303874526,27.9,13.0,-0.1,0.0,15.0,12.2
63787303875615,28.2,13.3,-0.1,0.0,15.0,12.5
63787303876701,27.8,12.9,-0.1,0.0,15.0,11.5
63787303877778,27.0,12.1,-0.1,0.0,15.0,10.7
63787303878872,26.4,11.5,-0.1,0.0,15.0,10.7
63787303879961,28.1,13.2,-0.1,0.0,15.0,12.5
63787303881037,27.7,12.8,-0.1,0.0,15.0,11.4
63787303882115,26.4,11.5,-0.1,0.0,15.0,10.4
63787303883193,26.3,11.4,-0.1,0.0,15.0,10.9
